fingerprint,record_count,source_type,source_id,attachment_id,usage_type,source_filename,classification
587aa17ca3a6ac38,2,product,5921,5922,product_featured,2024/11/1EB1BC9C-B7E7-48BB-8C93-D0841FC9CB0D.jpeg,SHARED
587aa17ca3a6ac38,2,product,5921,5922,product_featured,2024/11/1EB1BC9C-B7E7-48BB-8C93-D0841FC9CB0D.jpeg,SHARED
c09be683cf80ef02,2,product,5935,5936,product_featured,2024/11/96DAFD88-6100-436D-BC41-E1323EE27A28.jpeg,SHARED
c09be683cf80ef02,2,product,5935,5936,product_featured,2024/11/96DAFD88-6100-436D-BC41-E1323EE27A28.jpeg,SHARED
218556670f7ff57f,2,product,5940,5942,product_featured,2024/11/141CD9ED-ED6D-4B80-AB70-4C49A3AEE129.jpeg,SHARED
218556670f7ff57f,2,product,5940,5942,product_featured,2024/11/141CD9ED-ED6D-4B80-AB70-4C49A3AEE129.jpeg,SHARED
e72d05301b299843,2,product,5945,5956,product_featured,2024/11/6C65D7F6-7C7A-453D-84F7-C8A484A57EC7.jpeg,SHARED
e72d05301b299843,2,product,5945,5956,product_featured,2024/11/6C65D7F6-7C7A-453D-84F7-C8A484A57EC7.jpeg,SHARED
58cff85b7e405ae1,2,product,5989,5991,product_featured,2024/11/7D6511DE-A5C2-463A-9007-A138AABDD188.png,SHARED
58cff85b7e405ae1,2,product,5989,5991,product_featured,2024/11/7D6511DE-A5C2-463A-9007-A138AABDD188.png,SHARED
bcd75b2b39d73b80,2,product,7309,7314,product_featured,2025/01/EOS-COCONUT.jpg,SHARED
bcd75b2b39d73b80,2,product,7309,7314,product_featured,2025/01/EOS-COCONUT.jpg,SHARED
863aaa98dbe9f7aa,2,product,7323,7326,product_featured,2025/01/dr-teals-scrub.webp,SHARED
863aaa98dbe9f7aa,2,product,7323,7326,product_featured,2025/01/dr-teals-scrub.webp,SHARED
6f1a6b9197934d11,2,product,8618,8622,product_gallery,2025/03/IMG_0908.jpeg,SHARED
6f1a6b9197934d11,2,product_body,17487,8622,product_body_content,2025/03/IMG_0908.jpeg,SHARED
a312e3424bdfe069,2,product,8634,8636,product_gallery,2025/03/IMG_0975.jpeg,SHARED
a312e3424bdfe069,2,product,11227,8636,product_gallery,2025/03/IMG_0975.jpeg,SHARED
ecbd75a8b5099080,2,product,8634,8637,product_gallery,2025/03/IMG_0976.jpeg,SHARED
ecbd75a8b5099080,2,product,11227,8637,product_gallery,2025/03/IMG_0976.jpeg,SHARED
2fe191bbffbc52e4,2,product,8634,8638,product_gallery,2025/03/IMG_0977.jpeg,SHARED
2fe191bbffbc52e4,2,product,11227,8638,product_gallery,2025/03/IMG_0977.jpeg,SHARED
e5e2f463f1c57dc9,2,product,9187,19759,product_featured,2025/04/IMG_3892.png,SHARED
e5e2f463f1c57dc9,2,page,629,19759,page_image,2025/04/IMG_3892.png,SHARED
cc4e5d579be70287,2,product,10504,10510,product_featured,2025/05/WhatsApp-Image-2025-05-10-at-14.58.19.jpeg,SHARED
cc4e5d579be70287,2,variant,10505,10510,variant_image,2025/05/WhatsApp-Image-2025-05-10-at-14.58.19.jpeg,SHARED
c0071963799c1e29,2,product,10504,10514,product_gallery,2025/05/WhatsApp-Image-2025-05-10-at-14.57.17.jpeg,SHARED
c0071963799c1e29,2,variant,10509,10514,variant_image,2025/05/WhatsApp-Image-2025-05-10-at-14.57.17.jpeg,SHARED
3d3415ca3dcdabb8,2,product,10504,10513,product_gallery,2025/05/WhatsApp-Image-2025-05-10-at-14.57.54.jpeg,SHARED
3d3415ca3dcdabb8,2,variant,10508,10513,variant_image,2025/05/WhatsApp-Image-2025-05-10-at-14.57.54.jpeg,SHARED
24eb465ee3cada90,2,product,10504,10512,product_gallery,2025/05/WhatsApp-Image-2025-05-10-at-14.56.11.jpeg,SHARED
24eb465ee3cada90,2,variant,10507,10512,variant_image,2025/05/WhatsApp-Image-2025-05-10-at-14.56.11.jpeg,SHARED
d8518698c4d38f68,2,product,10504,10511,product_gallery,2025/05/WhatsApp-Image-2025-05-10-at-14.55.20.jpeg,SHARED
